"Gene","AIS_vs_Normal","MIA_vs_Normal","LUAD_vs_Normal","MIA_vs_AIS","LUAD_vs_AIS","LUAD_vs_MIA","Pattern"
"AMY1C",2.54164655973231,2.89765245628297,4.11900783591442,0.356005896550664,1.57736127618211,1.22135537963145,"p2"
"RUFY4",1.14147100229991,0.70748729596243,1.74862232434632,-0.433983706337482,0.607151322046405,1.04113502838389,"p2"
"NCCRP1",1.81263300568817,1.76593977024012,2.84671063717798,-0.0466932354480493,1.03407763148981,1.08077086693786,"p2"
"FZD9",1.20406596250424,0.666997591979391,2.14234956969207,-0.537068370524847,0.938283607187823,1.47535197771267,"p2"
"ANKRD34B",3.41459252059629,3.98320133773961,5.41051621255432,0.568608817143316,1.99592369195802,1.42731487481471,"p2"
"KRTAP4-1",1.66939128188192,1.42146376843824,5.55074678538333,-0.247927513443681,3.8813555035014,4.12928301694508,"p2"
"ALPK2",1.61199359835767,1.25128746631348,2.48752861587228,-0.360706132044185,0.875535017514609,1.23624114955879,"p2"
"CT83",1.65308314245635,1.50235972070773,4.09108292869243,-0.150723421748623,2.43799978623608,2.5887232079847,"p2"
"XAGE1B",2.98646081984493,2.57069258978264,4.57911696562328,-0.415768230062291,1.59265614577835,2.00842437584064,"p2"
"TRIM31",1.31082184264881,1.40204323946016,3.06479658141367,0.0912213968113543,1.75397473876485,1.6627533419535,"p2"
"IGFL2",1.39459716258565,2.10902544421769,4.74372941784849,0.714428281632044,3.34913225526283,2.63470397363079,"p2"
"KRTAP5-2",1.1762475131821,0.444762853889984,1.98658997477896,-0.731484659292121,0.81034246159686,1.54182712088898,"p2"
"KRTAP5-1",1.04444108794854,0.814421357889148,1.88685428170734,-0.230019730059397,0.842413193758802,1.07243292381819,"p2"
"ERVV-1",2.48905446297704,2.39826567760666,3.8287062236498,-0.090788785370381,1.33965176067276,1.43044054604314,"p2"
"CFTR",1.28451871930199,0.700928181994614,0.0942040266476299,-0.58359053730738,-1.19031469265437,-0.606724155346992,"p3"
"AOC1",1.57816693921232,2.2080770602895,2.98053925729429,0.629910121077186,1.40237231808197,0.772462197004785,"p3"
"PRSS22",1.47279871488138,1.3909582364165,1.6013561613432,-0.0818404784648883,0.128557446461822,0.21039792492671,"p3"
"ACSM3",1.9051008097722,1.51501290391642,1.22541015796499,-0.390087905855782,-0.679690651807211,-0.28960274595143,"p3"
"PON1",1.18317091017018,1.52515306905593,1.50082400761458,0.341982158885756,0.317653097444402,-0.024329061441356,"p3"
"TNFRSF12A",1.12069798492408,1.11990800678479,1.59404721180341,-0.000789978139285897,0.473349226879328,0.474139205018613,"p3"
"MAP3K9",1.04491591149712,0.979973723895217,1.40023588198057,-0.064942187601902,0.355319970483446,0.420262158085356,"p3"
"GGCT",1.13198338392894,0.99701188616549,1.50532276765069,-0.134971497763443,0.373339383721758,0.508310881485195,"p3"
"MGST1",1.44119035802167,1.11755362388969,1.34362459286351,-0.323636734131978,-0.097565765158165,0.226070968973814,"p3"
"IYD",2.04552727960986,1.9756746469272,2.59280798584972,-0.0698526326826624,0.547280706239865,0.617133338922527,"p3"
"SYT7",1.53280922753487,0.782899493123761,1.61140143110309,-0.74990973441111,0.0785922035682145,0.82850193797933,"p3"
"BIRC3",1.08811861547113,0.837638586900119,0.683787902381486,-0.250480028571013,-0.404330713089645,-0.153850684518631,"p3"
"CASR",3.25672768628526,3.74814103561361,3.92013714597324,0.491413349328343,0.663409459687975,0.17199611035963,"p3"
"CDH1",1.16033354434079,1.08674883271715,1.67254911991115,-0.0735847116236485,0.512215575570347,0.585800287193996,"p3"
"RAB27B",1.44469553083305,1.56457571340921,0.983370423570079,0.119880182576159,-0.461325107262971,-0.58120528983913,"p3"
"TNC",1.09530662732764,1.29920056567691,2.00452534294009,0.203893938349286,0.909218715612449,0.705324777263171,"p3"
"ADAM28",1.08508657621473,1.20248591518771,1.59980665823279,0.117399338972994,0.514720082018065,0.397320743045072,"p3"
"ROS1",1.47180603469322,1.51600525329051,1.04499377925408,0.0441992185972805,-0.426812255439144,-0.471011474036425,"p3"
"TNFRSF17",1.11415489251926,0.724907581279765,1.11900022046883,-0.389247311239492,0.00484532794957181,0.394092639189069,"p3"
"LMO3",1.32396817142686,1.32181264049753,1.26767622163619,-0.00215553092932756,-0.0562919497906691,-0.0541364188613414,"p3"
"TNFRSF9",1.41195029737819,1.19717306387941,2.15917609386587,-0.214777233498773,0.747225796487683,0.962003029986453,"p3"
"EPN3",1.35029174960628,2.0480293121819,2.89510197464465,0.697737562575624,1.54481022503837,0.847072662462746,"p3"
"FOXP3",1.04629919833865,1.0883632579052,1.71046725288808,0.0420640595665467,0.664168054549424,0.622103994982882,"p3"
"TNIP3",2.38818342012023,1.39841912832268,1.27653094437583,-0.989764291797552,-1.1116524757444,-0.121888183946849,"p3"
"GYG2",1.57201597959939,1.92839306576355,2.08708251501302,0.356377086164162,0.515066535413627,0.158689449249468,"p3"
"BCAT1",2.16773729227347,1.6114837680666,1.16450508194754,-0.556253524206866,-1.00323221032593,-0.446978686119059,"p3"
