Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
CHG020033	0.0400080556951277	0	0.141190151735593	0.0268989383498145	0	0.189790644578407	0	0.00134498459012784	0.00252378530330928	0	0	0.0314411486958352	0.0154582330416019	0	0.00482403953162318	0.268858425952392	0	0.00929743192569146	0.125270922379476	0	0	0	0.054	0.166155848197084	1.01000706276293	0.856906761779
CHG019738	0	0.00505064936896191	0.0468375236495089	0.0312838413960243	0	0.365007402162669	0	0	0	0	0.00129384459231612	0.0417015311845866	0.0669371565395668	0.0102563648180562	0.00201719518175693	0.349160928901921	0.00721576693902768	0.0156726753025568	0.294784173286761	0	0	0	0.011	0.257518231800827	0.983256137578897	1.23721905332371
CHG020046	0.0118371891515316	0.0236199959584532	0.0373332136701065	0.0706121094007407	0	0.326080767909533	0	0.0376463172806334	0.0256268430744861	0	0	0.066952343195472	0.0549726049112889	0	0.0107688150658547	0.267841126707629	0.074453568873078	0.00698583209588797	0.120091005147414	0	0	0	0.013	0.25093502372878	0.981950646551198	1.13482173244211
CHG019718	0	0.0101881110409766	0.0196956252793546	0.0204634196754492	0	0.178715290467152	0	0.00896329163653787	0.000302596034520392	0	0.00572720575536015	0.01600041648621	0.0259660697431633	0.00528203211145335	0.0064309717054212	0.243426916068244	0.0292614798180873	0.000134328103691313	0.118258832648838	0	0	0	0.145	0.115357160206272	1.04239574280723	0.688816586574458
CHG020820	0	0.0892679929336798	0.0394826275554059	0.106872946202097	0	0.132070450855053	0	0.0847486172993847	0	0	0	0	0.0636010670509964	0.166141788157484	0.00858465974258529	0.630656937267607	0.0161648813608606	0	0.201112307545822	0	0	0	0.001	0.39289307226068	0.922234638696432	1.53870427597098
CHG020812	0.108325985454726	0	0.128469159329659	0.350454377038917	0	0.309504616729686	0	0.0466498712264803	0.0547994863606172	0	0.0558945260976485	0	0.0244279110348527	0.305357353954329	0.0339178750566372	0.890353680284721	0	0	0.146881437160002	0	0	0	0.001	0.368184540100861	0.933011310411694	2.45503627972828
CHG020826	0	0.0141608020244754	0.0494968988146354	0.0943091828669473	0	0.191130704812235	0	0.05492006220023	0	0	0	0.0598366098280267	0.0569775513348233	0.0277973355140098	0.00132679465005344	0.367640810667523	0.0146878085898626	0.00388241367067423	0.26145884693592	0	0	0	0.001	0.34801094643045	0.940848460353701	1.19762582190942
CHG018362	0	0	0.103225345316336	0.111840355581278	0	0.346405758853387	0	0	0	0	0.0166340252189532	0.0493977028803758	0.131130081545931	0	0.00254477636912284	0.398919762340291	0.0482378661412244	0.00668878009620569	0.197480820851907	0	0	0	0.001	0.424086382467415	0.905396021524192	1.41250527519501
CHG019551	0.155513534586739	0.0635556829507055	0.13007636143344	0.254922105531935	0	0.488210903785316	0.00727128524210665	0.0523853903679486	0.00275877639394895	0	0.0493637780863365	0	0.0566073452706763	0	0.0533176490998366	0.300378602309237	0	0	0.134296983732902	0	0	0	0	0.491589100662251	0.872467379969643	1.74865839879113
CHG018364	0.0238109765266621	0	0.0273904106638582	0.0764349612006975	0	0.286774996383187	0	0	0	0	0.0652024517470431	0.0457819108994194	0.0543379618446038	0.0682806868946504	0.00544755533095989	0.473054717904082	0	0.0727059936797341	0.099523582188045	0	0	0	0.001	0.363784769933494	0.933977986737441	1.29874620526294
CHG019538	0.0640455773959262	0.486308360757437	0.250887133970746	0.189206918972587	0	0.478915393635168	0	0.0199040326264717	0.0231317207266073	0	0	0.0660367874338847	0.044743730219855	0.107981697559812	0	0.262186129944909	0	0.0310527606925809	0.249615847110477	0	0	0	0	0.539323144580761	0.853865796103979	2.27401609104646
CHG018349	0.0113471993320028	0	0.0778936625621689	0.0452967576951116	0	0.199869798180452	0	0.0383378994045057	0.00181878378029456	0	0.00195915961431217	0.0266428475995939	0.0589573201054729	0	0.0072177421000795	0.299580293318333	0.0245028506485077	0.0184306407152876	0.142945812740003	0	0	0	0.078	0.1466194404709	1.02130653613709	0.954800767796126
CHG019674	0.0324644636859637	0.225721561783746	0.24420316316345	0.150906517827787	0	0.394241717596815	0	0	0.0248049992572505	0	0	0.082859824627377	0.0236038041460383	0	0.0134521803205671	0.328383653324342	0	0.0296039314497984	0.170510543681044	0	0	0	0	0.490827945596961	0.877244070940008	1.72075636086418
CHG020818	0.0143151443229502	0	0	0.0633913282790578	0	0.279019365849082	0	0.0212149363992376	0.0312092947560091	0	0	0.0644866514533574	0.0300535190116798	0	0.024263173226039	0.340047631046525	0	0.0226578533785519	0.340578424792723	0	0	0	0.00600000000000001	0.279772430157083	0.976100045900234	1.23123732251521
CHG020808	0.116382089760094	0.127861719578382	0.0490578742664324	0.159294974726018	0	0.605066698197359	0	0	0	0	0.0562593298359256	0	0.036397496129452	0.0351899558319346	0.0201040253636484	0.330227323887749	0.0281751938455071	0.00549523426563265	0.140974491325492	0	0	0	0	0.449958126660717	0.892593138988111	1.71048640701363
CHG019526	0.0307441936873337	0.0913426858315662	0.0734102731873886	0.159408228470504	0	0.228142323689589	0	0.0657695921760987	0.0601927290325617	0	0	0.0788159019635225	0.0325131371492976	0.134553968529253	0.0553427353648846	0.52152594171892	0	0.00377171936165865	0.152605208769042	0	0	0	0	0.442324855064471	0.896557568024574	1.68813863893162
CHG020795	0.00652705656672804	0	0.0740687328006143	0.067438248051785	0	0.270973891193764	0	0	0	0	0.0328293365354487	0.0425575143902189	0.0658920266650946	0.0655321346024119	0	0.290703960815046	0.00996703380984125	0.0216295915747252	0.250275264422365	0.00609499239232768	0	0.00130680465996525	0.018	0.226797466933552	0.992924907640897	1.20579658848034
X3238LC	0.00301250895455356	0.00522243844588705	0.228883000972138	0.0417010087133377	0	0.210623369613472	0	0.00740522814979379	0.0176178500765732	0	0	0.0373891020519649	0.0667912356133873	0	0	0.232790635266847	0	0.0126290347147618	0.125242617975768	0	0	0	0.03	0.204539277518406	0.992612499431667	0.989308030548484
X3244LC	0.0604641240588096	0.0288683681954326	0.0620152974355036	0.118091762517047	0	0.416591410727644	0	0.046419625981281	0.013895837552516	0	0	0.0690754707130357	0.0414695965440091	0	0.0727178200228096	0.272020318881162	0	0.00427250542397794	0.0727207297469818	0	0	0	0.004	0.304269073824104	0.96153419680555	1.27862286780021
CHG020048	0	0.108843430154885	0.516241961102223	0.198417279483826	0	0.289677497729169	0	0.105387280941452	0	0	0	0.0337747358250148	0.0144920746040552	0	0.0442769072491694	0.21974307252557	0.00405938612656641	0	0.131443562817364	0	0	0	0.012	0.255478014334163	0.974788852229079	1.66635718855929
CHG020052	0.0589957944436737	0	0.1900198292185	0.0342696005362902	0	0.127895412535383	0.00823357289071888	0.0193791108623605	0	0	0.0256485691102161	0.0154846194991638	0.0152053343929237	0.0125997301754106	0.0166642138344928	0.168836851199221	0	0.00643627663079641	0.0447245626570383	0	0	0.00280011826740221	0.189	0.0974094320675036	1.02853843266226	0.747193596253591
CHG020058	0	0.0910754906968968	0.12327746760027	0.201477469475667	0	0.478858136331561	0.0139645245211616	0.144624334242805	0.0292328578908133	0	0.00427307111725124	0.0707976170971614	0.0332602929514162	0.210641266034228	0.241224937374666	0.490927241791431	0	0.00545732511533747	0.00916545515271756	0	0	0.00856350992477678	0.001	0.352726553922312	0.94014181474085	2.15682099731816
CHG019730	0.0312887882084607	0.0648213535199348	0.173472127945035	0.192766332034021	0	0.789563577710459	0.00301127237321059	0.0258099758632055	0	0	0.0506526265443739	0	0.0156929611504141	0.1391872313914	0.0700332155996104	0.392279129577936	0	0	0.24467460382911	0	0	0	0	0.432782688850541	0.901074862429574	2.19325319574717
CHG020059	0.0132297440478836	0	0.162543416117817	0.074463665141457	0	0.208980468827062	0	0.033942238223857	0.0287588670625917	0	0	0.0813255010717859	0.021804497714468	0	0.0287755700327042	0.354681865949861	0.147412331195449	0.00325551008078989	0.106494674725541	0	0	0	0.001	0.405333364251378	0.914057986701479	1.26566835019127
CHG020315	0.0352167847416032	0	0.138004266412493	0.0404422871145616	0	0.179959201609119	0	0.0188012235763979	0	0	0.0358110912327022	0.00218146752522755	0.00857597351473138	0	0.00405884448721652	0.140578876358362	0	0.0319392004889775	0.060029568622751	0	0	0	0.139	0.11854347777672	1.02554688977166	0.695598785684142
CHG020050	0.0431198245544902	0.00802859856980987	0.0214174791413056	0.159698617877432	0	0.34671700424094	0	0.0528149720861407	0.0454033049787628	0	0	0.103160431575343	0.0441780489970824	0.0501058326909564	0.0160151395173785	0.531976678144959	0.169538952043513	0	0.129387390109842	0	0	0	0.001	0.40517419675152	0.913999577082153	1.72156227452796
CHG019107	0	0.0106336353236386	0.0476552954050027	0.00246589874192267	0	0.152217843080446	0	0.0118029573149428	0.0277629038613443	0	0	0.0427666381429275	0.00152383180106301	0.16374499011238	0	0.454074731071056	0.00170521813929478	0.0528181581047649	0	0.162109689602111	0	0.00565818778992354	0.001	0.354228571746252	0.945903545670855	1.13693997849082
CHG019109	0.0134372401510595	0	0.236214514580766	0.0779730345137188	0	0.226592369915161	0	0.0202375832376562	0.0331083973475889	0	0	0.0825178587282492	0.0573199431162157	0	0.0221717954642162	0.355658797490365	0.145297543737367	0	0.0831814808827721	0.00644300005998888	0	0	0.005	0.298430744655815	0.957275712037024	1.36015355922513
