"Gene"	"AIS_vs_Normal"	"MIA_vs_Normal"	"LUAD_vs_Normal"	"MIA_vs_AIS"	"LUAD_vs_AIS"	"LUAD_vs_MIA"
"MARCO"	-1.98398248665813	-1.33774144820346	-2.36921791446491	0.646241038454664	-0.385235427806781	-1.03147646626145
"PRDM11"	-0.606725928175034	-0.618786649150082	-1.10931512922847	-0.012060720975048	-0.502589201053432	-0.490528480078384
"SNAI2"	-1.23000050909988	-0.81542861577032	-0.897663266004983	0.414571893329553	0.332337243094896	-0.0822346502346635
"C8B"	-1.94674530706201	-1.16326373645502	-2.17115898049158	0.783481570606985	-0.224413673429572	-1.00789524403655
"FHL1"	-1.61799792243545	-1.38589666037887	-2.78641857822871	0.232101262056578	-1.16842065579326	-1.40052191784984
"BIRC3"	1.08811861547113	0.837638586900119	0.683787902381486	-0.250480028571013	-0.404330713089645	-0.153850684518631
"EHD2"	-0.98010364829657	-0.837621030843195	-1.23055135398738	0.14248261745338	-0.250447705690814	-0.392930323144189
"DEPDC1"	1.09287560035892	0.834984945065221	2.60826945284626	-0.257890655293695	1.51539385248735	1.77328450778104
"VIM"	-1.08047710712445	-0.851139524000332	-0.90022050884897	0.229337583124114	0.180256598275479	-0.0490809848486388
"ARNTL2"	0.608903970348534	0.760426337757203	1.60515172675459	0.151522367408677	0.99624775640606	0.844725388997392
"HMGB3"	2.31160293929615	1.65229478810501	2.81156817999571	-0.659308151191142	0.499965240699559	1.1592733918907
"MUSK"	-0.238460789964102	-0.0994151014057579	-1.19804880866229	0.139045688558347	-0.959588018698186	-1.09863370725653
"ARHGAP31"	-0.35318629553959	-0.46515467692407	-1.02411231464517	-0.111968381384481	-0.67092601910558	-0.558957637721101
"PNPLA6"	-0.670268083622907	-0.603550267055337	-1.17413224054847	0.0667178165675756	-0.503864156925561	-0.57058197349313
"FUT8"	0.517148208179421	0.849710839695588	1.33271236915841	0.332562631516156	0.815564160978978	0.483001529462816
"MYOC"	-4.46074156883879	-4.13270879452931	-5.05237225285785	0.32803277430949	-0.591630684019053	-0.919663458328538
"DEPDC1B"	0.896473979663191	0.543658839391912	2.04850767076979	-0.352815140271279	1.1520336911066	1.50484883137789
"DAPK2"	-0.0466289895709593	-0.252761483348377	-1.2179028427059	-0.206132493777418	-1.17127385313494	-0.965141359357523
"TIMP2"	-1.01499766737463	-0.66984426065221	-0.649412521656883	0.345153406722425	0.365585145717749	0.0204317389953312
"MYOM2"	-1.21781091304583	-1.19272143160466	-2.24340706881659	0.0250894814411658	-1.02559615577076	-1.05068563721193
"OTC"	-2.39832362571756	-1.93135833439486	-3.32487583630084	0.466965291322703	-0.926552210583281	-1.39351750190598
"CASR"	3.25672768628526	3.74814103561361	3.92013714597324	0.491413349328343	0.663409459687975	0.17199611035963
"FLT4"	-1.57651139608423	-1.34722915857255	-1.65939920395179	0.22928223751167	-0.0828878078675626	-0.312170045379237
"METTL1"	0.575872471534931	0.73459740182974	1.36970411734874	0.158724930294803	0.793831645813812	0.635106715519
"HOXC8"	-1.73845843522409	0.0297618232256433	2.01987472188727	1.76822025844973	3.75833315711135	1.99011289866162
"TLL1"	-1.45601067148251	-0.949399290408815	-1.496362285647	0.506611381073702	-0.0403516141644903	-0.546962995238191
"VCAN"	0.252451032578672	0.471873180288723	1.59554775068037	0.219422147710047	1.3430967181017	1.12367457039165
"MSR1"	-1.50557710818542	-1.09158898645158	-1.39503126780052	0.413988121733841	0.110545840384906	-0.303442281348939
"CDH1"	1.16033354434079	1.08674883271715	1.67254911991115	-0.0735847116236485	0.512215575570347	0.585800287193996
"DNAH5"	0.793372760001209	1.40486606871876	1.46780884710246	0.61149330871756	0.674436087101247	0.0629427783837007
"C6"	-1.58860811521534	-1.18370331388974	-1.66057264318077	0.404904801325591	-0.0719645279654315	-0.476869329291022
"RAI14"	0.748273172654847	0.702878211219471	1.00814207509463	-0.0453949614353755	0.259868902439781	0.305263863875159
"SOX30"	0.196243086951018	0.187681073447583	1.00861608377524	-0.00856201350343036	0.812372996824229	0.820935010327658
"CDH10"	-0.882043824993426	-0.943008960004749	-1.7349524934021	-0.0609651350113226	-0.852908668408673	-0.79194353339735
"RAB27B"	1.44469553083305	1.56457571340921	0.983370423570079	0.119880182576159	-0.461325107262971	-0.58120528983913
"TNC"	1.09530662732764	1.29920056567691	2.00452534294009	0.203893938349286	0.909218715612449	0.705324777263171
"USH2A"	-0.920700100284591	-0.653929753543352	-1.20902110307984	0.266770346741242	-0.28832100279525	-0.555091349536489
"ADAM28"	1.08508657621473	1.20248591518771	1.59980665823279	0.117399338972994	0.514720082018065	0.397320743045072
"BARX2"	0.78061734093609	1.44310126057893	3.99046224927508	0.662483919642828	3.20984490833899	2.54736098869616
"ADRB1"	-0.86453791958044	-1.13226277718277	-2.0386947531409	-0.26772485760233	-1.17415683356046	-0.906431975958129
"EPHA3"	0.652099760758467	1.33456654228528	0.30949505294711	0.682466781526806	-0.342604707811363	-1.02507148933817
"DSG2"	0.532181852531238	0.705479511768038	1.45374879797472	0.173297659236805	0.921566945443487	0.748269286206689
"GPM6B"	-1.02130845014626	-0.863414138265083	-1.25539553573427	0.157894311881174	-0.234087085588017	-0.391981397469189
"PREX2"	-0.703839180780656	-0.518286212142891	-1.45951988892624	0.185552968637767	-0.755680708145581	-0.941233676783344
"CP"	3.28948303801378	2.40921408085801	4.31943523246214	-0.880268957155771	1.02995219444835	1.91022115160412
"ANO2"	-1.69908549761674	-1.09106653367618	-2.57163115646682	0.608018963940555	-0.872545658850081	-1.48056462279064
